Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,???,47840,0.182,0.7871,0.0148,0.0007,0.0087,0.0004,0.0002,0.0005,0.0017,0.0013,0.0015,0.0007,
??,???,47850,0.2485,0.7124,0.0193,0.0006,0.0148,0.0003,0.0002,0.0003,0.0014,0.0007,0.0006,0.0004,
??,???,47900,0.2362,0.7314,0.0168,0.0006,0.0073,0.0004,0.0003,0.0003,0.0019,0.001,0.0022,0.0009,
??,???,47920,0.2335,0.7316,0.016,0.0006,0.0092,0.0003,0.0004,0.0004,0.0021,0.001,0.0033,0.0009,
??,???,47930,0.2076,0.7624,0.0143,0.0006,0.008,0.0003,0.0002,0.0003,0.0019,0.0012,0.0015,0.0012,
??,???,47940,0.2407,0.7289,0.0165,0.0004,0.0099,0,0.0004,0.0003,0.001,0.0004,0.0001,0.0009,
??,??????,48121,0.3692,0.5855,0.0268,0.0004,0.0132,0.0003,0.0001,0.0002,0.0009,0.0019,0.0003,0.0004,
??,??????,48123,0.399,0.5528,0.0322,0.0004,0.0114,0.0003,0.0001,0.0002,0.0008,0.0015,0.0003,0.0005,
??,????????,48125,0.3142,0.6469,0.0218,0.0004,0.0122,0.0002,0.0001,0.0002,0.0011,0.0012,0.0005,0.0005,
??,????????,48127,0.335,0.6234,0.0234,0.0007,0.0133,0.0002,0.0001,0.0001,0.001,0.0016,0.0002,0.0004,
??,??????,48129,0.3895,0.5628,0.0261,0.0004,0.0166,0.0003,0.0001,0.0003,0.0007,0.0018,0.0003,0.0006,
??,???,48170,0.3321,0.6264,0.0247,0.0004,0.0113,0.0003,0.0001,0.0001,0.0008,0.0022,0.0005,0.0006,
??,???,48220,0.3325,0.6273,0.0198,0.0005,0.0145,0.0002,0.0001,0.0002,0.0011,0.0018,0.0008,0.0006,
??,???,48240,0.3298,0.6288,0.0222,0.0004,0.013,0.0003,0.0001,0.0002,0.0009,0.002,0.0009,0.0009,
??,???,48250,0.4623,0.4933,0.0264,0.0004,0.0139,0.0002,0.0001,0.0002,0.0007,0.0012,0.0003,0.0005,
??,???,48270,0.3151,0.6456,0.0209,0.0005,0.0121,0.0003,0.0001,0.0003,0.001,0.0019,0.0007,0.0009,
??,???,48310,0.4469,0.4984,0.029,0.0005,0.0195,0.0005,0.0003,0.0001,0.0008,0.0022,0.0005,0.0007,
??,???,48330,0.4218,0.5352,0.0245,0.0004,0.0137,0.0002,0.0001,0.0002,0.0007,0.0016,0.0003,0.0005,
??,???,48720,0.287,0.6716,0.0185,0.0011,0.0101,0.0004,0.0003,0.0003,0.0013,0.0039,0.0025,0.0025,
